userAgent,anomaly_score,log_total_calls,out_degree,entropy,max_call
aws-cli/1.16.117 Python/2.7.12 Linux/4.15.0-36-generic botocore/1.12.107,1.6436677,4.0073333,20.0,2.9170477,6.0
Boto3/1.14.28 Python/3.8.5 Linux/5.7.0-kali1-amd64 Botocore/1.17.28,1.6429013,8.271293,229.0,5.4320426,34.0
aws-cli/1.11.127 Python/2.7.12 Linux/4.10.0-28-generic botocore/1.5.92,1.6417073,4.0775375,15.0,2.5034132,13.0
Boto3/1.13.23 Python/2.7.17 Linux/5.0.0-25-generic Botocore/1.16.23,1.6371489,6.5889263,616.0,6.255994,21.0
aws-cli/1.10.36 Python/2.7.10 Darwin/15.6.0 botocore/1.4.26,1.6180878,3.218876,15.0,2.5568273,4.0
aws-cli/1.14.44 Python/3.6.7 Linux/4.15.0-43-generic botocore/1.8.48,1.6152077,6.126869,50.0,3.0091913,81.0
aws-cli/1.11.13 Python/3.5.2 Linux/4.10.0-42-generic botocore/1.4.70,1.611319,0.6931472,1.0,0.0,1.0
aws-cli/1.16.131 Python/3.7.1 Darwin/18.7.0 botocore/1.12.121,1.6056455,4.8751974,21.0,1.976393,72.0
aws-cli/1.14.40 Python/2.7.15 Linux/4.17.2-200.fc28.x86_64 botocore/1.9.1,1.6024024,2.8332133,11.0,2.3066688,3.0
aws-sdk-go/1.19.18 (go1.12.4; linux; amd64),1.5992882,0.6931472,1.0,0.0,1.0
Boto3/1.4.6 Python/2.7.14 Linux/4.13.5-1-ARCH Botocore/1.6.0,1.5962318,6.6424866,35.0,3.3016357,42.0
aws-cli/1.11.181 Python/2.7.12 Linux/4.9.34-gentoo botocore/1.7.39,1.5887492,0.6931472,1.0,0.0,1.0
aws-cli/1.16.47 Python/2.7.13 Linux/4.17.0-3rodete2-amd64 botocore/1.12.37,1.5784897,4.2904596,26.0,2.6878607,23.0
aws-cli/2.0.24 Python/3.7.4 Darwin/18.7.0 botocore/2.0.0dev28,1.5671895,2.1972246,2.0,0.37677017,7.0
aws-cli/1.16.209 Python/2.7.14 Darwin/18.6.0 botocore/1.12.199,1.5597631,5.894403,13.0,1.1901923,218.0
Boto3/1.7.48 Python/3.7.3 Darwin/17.7.0 Botocore/1.10.48,1.5189342,5.1298985,9.0,1.7323325,64.0
aws-cli/1.18.106 Python/2.7.12 Linux/4.4.0-64-generic botocore/1.17.29,1.5050157,6.754604,53.0,3.4118774,96.0
aws-cli/1.11.72 Python/2.7.13 Darwin/16.6.0 botocore/1.5.35,1.5023293,4.2341065,31.0,3.1299024,12.0
[Boto3/1.4.7 Python/2.7.16 Linux/4.15.0-66-generic Botocore/1.7.48],1.4853834,6.799056,16.0,2.7725887,56.0
[Boto3/1.9.171 Python/3.7.4 Linux/5.2.0-2parrot1-amd64 Botocore/1.12.171 Resource],1.4784355,7.5005293,14.0,2.5993023,226.0
aws-cli/1.15.63 Python/2.7.12 Linux/4.15.0-29-generic botocore/1.10.62,1.4775473,0.6931472,1.0,0.0,1.0
